english,french
The cat is in the garden.,Le chat est dans le jardin.
The cat is at home.,Le chat est à la maison.
The cat is in the school.,Le chat est dans l'école.
The cat is in the park.,Le chat est dans le parc.
The cat is in the kitchen.,Le chat est dans la cuisine.
The cat is in the room.,Le chat est dans la chambre.
The cat is on the street.,Le chat est dans la rue.
The cat is at the station.,Le chat est à la gare.
The cat is in the village.,Le chat est dans le village.
The cat is near the river.,Le chat est près de la rivière.
The dog is in the garden.,Le chien est dans le jardin.
The dog is at home.,Le chien est à la maison.
The dog is in the school.,Le chien est dans l'école.
The dog is in the park.,Le chien est dans le parc.
The dog is in the kitchen.,Le chien est dans la cuisine.
The dog is in the room.,Le chien est dans la chambre.
The dog is on the street.,Le chien est dans la rue.
The dog is at the station.,Le chien est à la gare.
The dog is in the village.,Le chien est dans le village.
The dog is near the river.,Le chien est près de la rivière.
The bird is in the garden.,L'oiseau est dans le jardin.
The bird is at home.,L'oiseau est à la maison.
The bird is in the school.,L'oiseau est dans l'école.
The bird is in the park.,L'oiseau est dans le parc.
The bird is in the kitchen.,L'oiseau est dans la cuisine.
The bird is in the room.,L'oiseau est dans la chambre.
The bird is on the street.,L'oiseau est dans la rue.
The bird is at the station.,L'oiseau est à la gare.
The bird is in the village.,L'oiseau est dans le village.
The bird is near the river.,L'oiseau est près de la rivière.
The rabbit is in the garden.,Le lapin est dans le jardin.
The rabbit is at home.,Le lapin est à la maison.
The rabbit is in the school.,Le lapin est dans l'école.
The rabbit is in the park.,Le lapin est dans le parc.
The rabbit is in the kitchen.,Le lapin est dans la cuisine.
The rabbit is in the room.,Le lapin est dans la chambre.
The rabbit is on the street.,Le lapin est dans la rue.
The rabbit is at the station.,Le lapin est à la gare.
The rabbit is in the village.,Le lapin est dans le village.
The rabbit is near the river.,Le lapin est près de la rivière.
The horse is in the garden.,Le cheval est dans le jardin.
The horse is at home.,Le cheval est à la maison.
The horse is in the school.,Le cheval est dans l'école.
The horse is in the park.,Le cheval est dans le parc.
The horse is in the kitchen.,Le cheval est dans la cuisine.
The horse is in the room.,Le cheval est dans la chambre.
The horse is on the street.,Le cheval est dans la rue.
The horse is at the station.,Le cheval est à la gare.
The horse is in the village.,Le cheval est dans le village.
The horse is near the river.,Le cheval est près de la rivière.
The child is in the garden.,L'enfant est dans le jardin.
The child is at home.,L'enfant est à la maison.
The child is in the school.,L'enfant est dans l'école.
The child is in the park.,L'enfant est dans le parc.
The child is in the kitchen.,L'enfant est dans la cuisine.
The child is in the room.,L'enfant est dans la chambre.
The child is on the street.,L'enfant est dans la rue.
The child is at the station.,L'enfant est à la gare.
The child is in the village.,L'enfant est dans le village.
The child is near the river.,L'enfant est près de la rivière.
The teacher is in the garden.,Le professeur est dans le jardin.
The teacher is at home.,Le professeur est à la maison.
The teacher is in the school.,Le professeur est dans l'école.
The teacher is in the park.,Le professeur est dans le parc.
The teacher is in the kitchen.,Le professeur est dans la cuisine.
The teacher is in the room.,Le professeur est dans la chambre.
The teacher is on the street.,Le professeur est dans la rue.
The teacher is at the station.,Le professeur est à la gare.
The teacher is in the village.,Le professeur est dans le village.
The teacher is near the river.,Le professeur est près de la rivière.
The doctor is in the garden.,Le médecin est dans le jardin.
The doctor is at home.,Le médecin est à la maison.
The doctor is in the school.,Le médecin est dans l'école.
The doctor is in the park.,Le médecin est dans le parc.
The doctor is in the kitchen.,Le médecin est dans la cuisine.
The doctor is in the room.,Le médecin est dans la chambre.
The doctor is on the street.,Le médecin est dans la rue.
The doctor is at the station.,Le médecin est à la gare.
The doctor is in the village.,Le médecin est dans le village.
The doctor is near the river.,Le médecin est près de la rivière.
The friend is in the garden.,L'ami est dans le jardin.
The friend is at home.,L'ami est à la maison.
The friend is in the school.,L'ami est dans l'école.
The friend is in the park.,L'ami est dans le parc.
The friend is in the kitchen.,L'ami est dans la cuisine.
The friend is in the room.,L'ami est dans la chambre.
The friend is on the street.,L'ami est dans la rue.
The friend is at the station.,L'ami est à la gare.
The friend is in the village.,L'ami est dans le village.
The friend is near the river.,L'ami est près de la rivière.
The student is in the garden.,L'étudiant est dans le jardin.
The student is at home.,L'étudiant est à la maison.
The student is in the school.,L'étudiant est dans l'école.
The student is in the park.,L'étudiant est dans le parc.
The student is in the kitchen.,L'étudiant est dans la cuisine.
The student is in the room.,L'étudiant est dans la chambre.
The student is on the street.,L'étudiant est dans la rue.
The student is at the station.,L'étudiant est à la gare.
The student is in the village.,L'étudiant est dans le village.
The student is near the river.,L'étudiant est près de la rivière.
The cat has a book.,Le chat a un livre.
The cat has a ball.,Le chat a une balle.
The cat has an apple.,Le chat a une pomme.
The cat has a key.,Le chat a une clé.
The cat has a bag.,Le chat a un sac.
The cat has a letter.,Le chat a une lettre.
The cat has a flower.,Le chat a une fleur.
The cat has a chair.,Le chat a une chaise.
The cat has a map.,Le chat a une carte.
The cat has a phone.,Le chat a un téléphone.
The dog has a book.,Le chien a un livre.
The dog has a ball.,Le chien a une balle.
The dog has an apple.,Le chien a une pomme.
The dog has a key.,Le chien a une clé.
The dog has a bag.,Le chien a un sac.
The dog has a letter.,Le chien a une lettre.
The dog has a flower.,Le chien a une fleur.
The dog has a chair.,Le chien a une chaise.
The dog has a map.,Le chien a une carte.
The dog has a phone.,Le chien a un téléphone.
The bird has a book.,L'oiseau a un livre.
The bird has a ball.,L'oiseau a une balle.
The bird has an apple.,L'oiseau a une pomme.
The bird has a key.,L'oiseau a une clé.
The bird has a bag.,L'oiseau a un sac.
The bird has a letter.,L'oiseau a une lettre.
The bird has a flower.,L'oiseau a une fleur.
The bird has a chair.,L'oiseau a une chaise.
The bird has a map.,L'oiseau a une carte.
The bird has a phone.,L'oiseau a un téléphone.
The rabbit has a book.,Le lapin a un livre.
The rabbit has a ball.,Le lapin a une balle.
The rabbit has an apple.,Le lapin a une pomme.
The rabbit has a key.,Le lapin a une clé.
The rabbit has a bag.,Le lapin a un sac.
The rabbit has a letter.,Le lapin a une lettre.
The rabbit has a flower.,Le lapin a une fleur.
The rabbit has a chair.,Le lapin a une chaise.
The rabbit has a map.,Le lapin a une carte.
The rabbit has a phone.,Le lapin a un téléphone.
The horse has a book.,Le cheval a un livre.
The horse has a ball.,Le cheval a une balle.
The horse has an apple.,Le cheval a une pomme.
The horse has a key.,Le cheval a une clé.
The horse has a bag.,Le cheval a un sac.
The horse has a letter.,Le cheval a une lettre.
The horse has a flower.,Le cheval a une fleur.
The horse has a chair.,Le cheval a une chaise.
The horse has a map.,Le cheval a une carte.
The horse has a phone.,Le cheval a un téléphone.
The child has a book.,L'enfant a un livre.
The child has a ball.,L'enfant a une balle.
The child has an apple.,L'enfant a une pomme.
The child has a key.,L'enfant a une clé.
The child has a bag.,L'enfant a un sac.
The child has a letter.,L'enfant a une lettre.
The child has a flower.,L'enfant a une fleur.
The child has a chair.,L'enfant a une chaise.
The child has a map.,L'enfant a une carte.
The child has a phone.,L'enfant a un téléphone.
The teacher has a book.,Le professeur a un livre.
The teacher has a ball.,Le professeur a une balle.
The teacher has an apple.,Le professeur a une pomme.
The teacher has a key.,Le professeur a une clé.
The teacher has a bag.,Le professeur a un sac.
The teacher has a letter.,Le professeur a une lettre.
The teacher has a flower.,Le professeur a une fleur.
The teacher has a chair.,Le professeur a une chaise.
The teacher has a map.,Le professeur a une carte.
The teacher has a phone.,Le professeur a un téléphone.
The doctor has a book.,Le médecin a un livre.
The doctor has a ball.,Le médecin a une balle.
The doctor has an apple.,Le médecin a une pomme.
The doctor has a key.,Le médecin a une clé.
The doctor has a bag.,Le médecin a un sac.
The doctor has a letter.,Le médecin a une lettre.
The doctor has a flower.,Le médecin a une fleur.
The doctor has a chair.,Le médecin a une chaise.
The doctor has a map.,Le médecin a une carte.
The doctor has a phone.,Le médecin a un téléphone.
The friend has a book.,L'ami a un livre.
The friend has a ball.,L'ami a une balle.
The friend has an apple.,L'ami a une pomme.
The friend has a key.,L'ami a une clé.
The friend has a bag.,L'ami a un sac.
The friend has a letter.,L'ami a une lettre.
The friend has a flower.,L'ami a une fleur.
The friend has a chair.,L'ami a une chaise.
The friend has a map.,L'ami a une carte.
The friend has a phone.,L'ami a un téléphone.
The student has a book.,L'étudiant a un livre.
The student has a ball.,L'étudiant a une balle.
The student has an apple.,L'étudiant a une pomme.
The student has a key.,L'étudiant a une clé.
The student has a bag.,L'étudiant a un sac.
The student has a letter.,L'étudiant a une lettre.
The student has a flower.,L'étudiant a une fleur.
The student has a chair.,L'étudiant a une chaise.
The student has a map.,L'étudiant a une carte.
The student has a phone.,L'étudiant a un téléphone.
The cat runs.,Le chat court.
The cat walks.,Le chat marche.
The cat sleeps.,Le chat dort.
The cat reads.,Le chat lit.
The cat writes.,Le chat écrit.
The cat waits.,Le chat attend.
The cat smiles.,Le chat sourit.
The cat sings.,Le chat chante.
The cat works.,Le chat travaille.
The cat listens.,Le chat écoute.
The dog runs.,Le chien court.
The dog walks.,Le chien marche.
The dog sleeps.,Le chien dort.
The dog reads.,Le chien lit.
The dog writes.,Le chien écrit.
The dog waits.,Le chien attend.
The dog smiles.,Le chien sourit.
The dog sings.,Le chien chante.
The dog works.,Le chien travaille.
The dog listens.,Le chien écoute.
The bird runs.,L'oiseau court.
The bird walks.,L'oiseau marche.
The bird sleeps.,L'oiseau dort.
The bird reads.,L'oiseau lit.
The bird writes.,L'oiseau écrit.
The bird waits.,L'oiseau attend.
The bird smiles.,L'oiseau sourit.
The bird sings.,L'oiseau chante.
The bird works.,L'oiseau travaille.
The bird listens.,L'oiseau écoute.
The rabbit runs.,Le lapin court.
The rabbit walks.,Le lapin marche.
The rabbit sleeps.,Le lapin dort.
The rabbit reads.,Le lapin lit.
The rabbit writes.,Le lapin écrit.
The rabbit waits.,Le lapin attend.
The rabbit smiles.,Le lapin sourit.
The rabbit sings.,Le lapin chante.
The rabbit works.,Le lapin travaille.
The rabbit listens.,Le lapin écoute.
The horse runs.,Le cheval court.
The horse walks.,Le cheval marche.
The horse sleeps.,Le cheval dort.
The horse reads.,Le cheval lit.
The horse writes.,Le cheval écrit.
The horse waits.,Le cheval attend.
The horse smiles.,Le cheval sourit.
The horse sings.,Le cheval chante.
The horse works.,Le cheval travaille.
The horse listens.,Le cheval écoute.
The child runs.,L'enfant court.
The child walks.,L'enfant marche.
The child sleeps.,L'enfant dort.
The child reads.,L'enfant lit.
The child writes.,L'enfant écrit.
The child waits.,L'enfant attend.
The child smiles.,L'enfant sourit.
The child sings.,L'enfant chante.
The child works.,L'enfant travaille.
The child listens.,L'enfant écoute.
The teacher runs.,Le professeur court.
The teacher walks.,Le professeur marche.
The teacher sleeps.,Le professeur dort.
The teacher reads.,Le professeur lit.
The teacher writes.,Le professeur écrit.
The teacher waits.,Le professeur attend.
The teacher smiles.,Le professeur sourit.
The teacher sings.,Le professeur chante.
The teacher works.,Le professeur travaille.
The teacher listens.,Le professeur écoute.
The doctor runs.,Le médecin court.
The doctor walks.,Le médecin marche.
The doctor sleeps.,Le médecin dort.
The doctor reads.,Le médecin lit.
The doctor writes.,Le médecin écrit.
The doctor waits.,Le médecin attend.
The doctor smiles.,Le médecin sourit.
The doctor sings.,Le médecin chante.
The doctor works.,Le médecin travaille.
The doctor listens.,Le médecin écoute.
The friend runs.,L'ami court.
The friend walks.,L'ami marche.
The friend sleeps.,L'ami dort.
The friend reads.,L'ami lit.
The friend writes.,L'ami écrit.
The friend waits.,L'ami attend.
The friend smiles.,L'ami sourit.
The friend sings.,L'ami chante.
The friend works.,L'ami travaille.
The friend listens.,L'ami écoute.
The student runs.,L'étudiant court.
The student walks.,L'étudiant marche.
The student sleeps.,L'étudiant dort.
The student reads.,L'étudiant lit.
The student writes.,L'étudiant écrit.
The student waits.,L'étudiant attend.
The student smiles.,L'étudiant sourit.
The student sings.,L'étudiant chante.
The student works.,L'étudiant travaille.
The student listens.,L'étudiant écoute.
I see a book.,Je vois un livre.
I see a ball.,Je vois une balle.
I see an apple.,Je vois une pomme.
I see a key.,Je vois une clé.
I see a bag.,Je vois un sac.
I see a letter.,Je vois une lettre.
I see a flower.,Je vois une fleur.
I see a chair.,Je vois une chaise.
I see a map.,Je vois une carte.
I see a phone.,Je vois un téléphone.
I like a book.,J'aime un livre.
I like a ball.,J'aime une balle.
I like an apple.,J'aime une pomme.
I like a key.,J'aime une clé.
I like a bag.,J'aime un sac.
I like a letter.,J'aime une lettre.
I like a flower.,J'aime une fleur.
I like a chair.,J'aime une chaise.
I like a map.,J'aime une carte.
I like a phone.,J'aime un téléphone.
I need a book.,J'ai besoin de un livre.
I need a ball.,J'ai besoin de une balle.
I need an apple.,J'ai besoin de une pomme.
I need a key.,J'ai besoin de une clé.
I need a bag.,J'ai besoin de un sac.
I need a letter.,J'ai besoin de une lettre.
I need a flower.,J'ai besoin de une fleur.
I need a chair.,J'ai besoin de une chaise.
I need a map.,J'ai besoin de une carte.
I need a phone.,J'ai besoin de un téléphone.
I want a book.,Je veux un livre.
I want a ball.,Je veux une balle.
I want an apple.,Je veux une pomme.
I want a key.,Je veux une clé.
I want a bag.,Je veux un sac.
I want a letter.,Je veux une lettre.
I want a flower.,Je veux une fleur.
I want a chair.,Je veux une chaise.
I want a map.,Je veux une carte.
I want a phone.,Je veux un téléphone.
I find a book.,Je trouve un livre.
I find a ball.,Je trouve une balle.
I find an apple.,Je trouve une pomme.
I find a key.,Je trouve une clé.
I find a bag.,Je trouve un sac.
I find a letter.,Je trouve une lettre.
I find a flower.,Je trouve une fleur.
I find a chair.,Je trouve une chaise.
I find a map.,Je trouve une carte.
I find a phone.,Je trouve un téléphone.
I carry a book.,Je porte un livre.
I carry a ball.,Je porte une balle.
I carry an apple.,Je porte une pomme.
I carry a key.,Je porte une clé.
I carry a bag.,Je porte un sac.
I carry a letter.,Je porte une lettre.
I carry a flower.,Je porte une fleur.
I carry a chair.,Je porte une chaise.
I carry a map.,Je porte une carte.
I carry a phone.,Je porte un téléphone.
I open a book.,J'ouvre un livre.
I open a ball.,J'ouvre une balle.
I open an apple.,J'ouvre une pomme.
I open a key.,J'ouvre une clé.
I open a bag.,J'ouvre un sac.
I open a letter.,J'ouvre une lettre.
I open a flower.,J'ouvre une fleur.
I open a chair.,J'ouvre une chaise.
I open a map.,J'ouvre une carte.
I open a phone.,J'ouvre un téléphone.
I close a book.,Je ferme un livre.
I close a ball.,Je ferme une balle.
I close an apple.,Je ferme une pomme.
I close a key.,Je ferme une clé.
I close a bag.,Je ferme un sac.
I close a letter.,Je ferme une lettre.
I close a flower.,Je ferme une fleur.
I close a chair.,Je ferme une chaise.
I close a map.,Je ferme une carte.
I close a phone.,Je ferme un téléphone.
I take a book.,Je prends un livre.
I take a ball.,Je prends une balle.
I take an apple.,Je prends une pomme.
I take a key.,Je prends une clé.
I take a bag.,Je prends un sac.
I take a letter.,Je prends une lettre.
I take a flower.,Je prends une fleur.
I take a chair.,Je prends une chaise.
I take a map.,Je prends une carte.
I take a phone.,Je prends un téléphone.
I know a book.,Je connais un livre.
I know a ball.,Je connais une balle.
I know an apple.,Je connais une pomme.
I know a key.,Je connais une clé.
I know a bag.,Je connais un sac.
I know a letter.,Je connais une lettre.
I know a flower.,Je connais une fleur.
I know a chair.,Je connais une chaise.
I know a map.,Je connais une carte.
I know a phone.,Je connais un téléphone.
The cats run.,Les chats courent.
The cats walk.,Les chats marchent.
The cats sleep.,Les chats dorment.
The cats read.,Les chats lisent.
The cats write.,Les chats écrivent.
